date, volume, open, low, high, close
2022-07-21 13:45:54, 1658403952695, 1.01849, 1.01856, 1.01653, 1.0231
2022-07-21 13:46:54, 1658404014621, 1.01822, 1.0183, 1.01653, 1.0231
2022-07-21 13:47:55, 1658404074966, 1.01845, 1.01853, 1.01653, 1.0231
2022-07-21 13:48:56, 1658404135828, 1.01831, 1.01842, 1.01653, 1.0231
2022-07-21 13:49:56, 1658404196305, 1.01848, 1.01857, 1.01653, 1.0231
2022-07-21 13:50:57, 1658404249412, 1.01862, 1.01872, 1.01653, 1.0231
2022-07-21 13:51:24, 1658404284771, 1.01867, 1.01653, 1.0231, 1.01826
2022-07-21 13:53:14, 1658404394427, 1.01907, 1.01653, 1.0231, 1.01826
2022-07-21 13:54:15, 1658404452816, 1.01897, 1.01653, 1.0231, 1.01826
2022-07-21 13:54:38, 1658404477687, 1.01904, 1.01653, 1.0231, 1.01826
2022-07-21 13:55:38, 1658404537449, 1.01893, 1.01653, 1.0231, 1.01826
2022-07-21 13:56:37, 1658404596566, 1.01924, 1.01653, 1.0231, 1.01826
2022-07-21 13:57:37, 1658404656488, 1.01923, 1.01653, 1.0231, 1.01826
2022-07-21 13:58:36, 1658404715786, 1.01927, 1.01653, 1.0231, 1.01826
2022-07-21 13:59:36, 1658404776702, 1.01916, 1.01653, 1.0231, 1.01826
2022-07-21 14:00:36, 1658404836147, 1.01917, 1.01653, 1.0231, 1.01826
2022-07-21 14:01:37, 1658404897059, 1.01898, 1.01653, 1.0231, 1.01826
2022-07-21 14:02:36, 1658404956552, 1.01927, 1.01653, 1.0231, 1.01826
2022-07-21 14:03:36, 1658405016302, 1.01972, 1.01653, 1.0231, 1.01826
2022-07-21 14:04:36, 1658405074618, 1.01984, 1.01653, 1.0231, 1.01826
2022-07-21 14:05:35, 1658405133671, 1.01988, 1.01653, 1.0231, 1.01826
2022-07-21 14:06:36, 1658405195716, 1.02015, 1.01653, 1.0231, 1.01826
2022-07-21 14:07:36, 1658405254923, 1.02022, 1.01653, 1.0231, 1.01826
2022-07-21 14:08:35, 1658405315420, 1.02047, 1.01653, 1.0231, 1.01826
2022-07-21 14:09:40, 1658405378681, 1.01992, 1.01653, 1.0231, 1.01826
2022-07-21 14:10:39, 1658405439445, 1.01957, 1.01653, 1.0231, 1.01826
2022-07-21 14:11:49, 1658405508811, 1.01969, 1.01653, 1.0231, 1.01826
2022-07-21 14:12:55, 1658405574996, 1.01988, 1.01653, 1.0231, 1.01826
2022-07-21 14:13:56, 1658405636154, 1.01975, 1.01653, 1.0231, 1.01826
2022-07-21 14:14:57, 1658405694218, 1.02002, 1.01653, 1.0231, 1.01826
2022-07-21 14:15:56, 1658405756452, 1.02347, 1.01653, 1.02525, 1.01826
2022-07-21 14:16:56, 1658405816295, 1.02256, 1.01653, 1.02525, 1.01826
2022-07-21 14:17:56, 1658405876287, 1.02317, 1.01653, 1.02525, 1.01826
2022-07-21 14:18:58, 1658405938504, 1.02411, 1.01653, 1.02525, 1.01826
2022-07-21 14:19:58, 1658405998231, 1.02412, 1.01653, 1.02525, 1.01826
2022-07-21 14:20:58, 1658406057845, 1.02575, 1.01653, 1.02588, 1.01826
2022-07-21 14:22:04, 1658406124014, 1.02591, 1.01653, 1.02602, 1.01826
2022-07-21 14:23:04, 1658406184003, 1.02517, 1.01653, 1.02608, 1.01826
2022-07-21 14:24:04, 1658406244835, 1.02439, 1.01653, 1.02608, 1.01826
2022-07-21 14:25:04, 1658406304268, 1.02453, 1.01653, 1.02608, 1.01826
2022-07-21 14:26:03, 1658406363654, 1.02433, 1.01653, 1.02608, 1.01826
2022-07-21 14:27:03, 1658406423234, 1.0248, 1.01653, 1.02608, 1.01826
2022-07-21 14:28:02, 1658406482731, 1.02433, 1.01653, 1.02608, 1.01826
2022-07-21 14:29:02, 1658406542401, 1.02443, 1.01653, 1.02608, 1.01826
2022-07-21 14:30:07, 1658406607087, 1.02439, 1.01653, 1.02608, 1.01826
2022-07-21 14:31:11, 1658406671490, 1.0252, 1.01653, 1.02608, 1.01826
2022-07-21 14:33:10, 1658406790431, 1.02582, 1.01653, 1.02626, 1.01826
2022-07-21 14:34:10, 1658406849800, 1.02537, 1.01653, 1.02626, 1.01826
2022-07-21 14:35:10, 1658406909626, 1.02568, 1.01653, 1.02626, 1.01826
2022-07-21 14:36:09, 1658406969464, 1.02589, 1.01653, 1.02626, 1.01826
2022-07-21 14:37:09, 1658407028869, 1.02608, 1.01653, 1.02626, 1.01826
2022-07-21 14:38:25, 1658407105359, 1.02616, 1.01653, 1.02647, 1.01826
2022-07-21 14:39:25, 1658407165112, 1.02635, 1.01653, 1.02663, 1.01826
2022-07-21 14:40:25, 1658407225159, 1.02613, 1.01653, 1.02669, 1.01826
2022-07-21 14:41:24, 1658407284626, 1.02679, 1.01653, 1.02679, 1.01826
2022-07-21 14:42:24, 1658407344663, 1.02677, 1.01653, 1.0274, 1.01826
2022-07-21 14:43:24, 1658407404016, 1.02697, 1.01653, 1.0274, 1.01826
2022-07-21 14:44:24, 1658407464507, 1.02714, 1.01653, 1.0274, 1.01826
2022-07-21 14:45:24, 1658407524605, 1.027, 1.01653, 1.02789, 1.01826
2022-07-21 14:46:24, 1658407584223, 1.02714, 1.01653, 1.02789, 1.01826
2022-07-21 14:47:24, 1658407643578, 1.02687, 1.01653, 1.02789, 1.01826
2022-07-21 14:48:23, 1658407703385, 1.02731, 1.01653, 1.02789, 1.01826
2022-07-21 14:49:23, 1658407763281, 1.0268, 1.01653, 1.02789, 1.01826
2022-07-21 14:50:23, 1658407823061, 1.02731, 1.01653, 1.02789, 1.01826
